date,population_group,returned_to_shelter,moved_to_housing,actively_homeless,newly_identified,ageunder16,age16-24,age25-34,age35-44,age45-54,age55-64,age65over,interaction_age_under16_time,interaction_age16_24_time,interaction_age25_34_time,interaction_age35_44_time,interaction_age45_54_time,interaction_age55_64_time,interaction_age65over_time,population_group_percentage
2021-08-01,Chronic,21,175,3915,308,237,340,584,802,802,763,387,-0.0888545961498727,-0.0959701771647067,-0.028465068878305994,-0.014823699676993379,0.007391455740636146,0.03737309267461835,0.03286702270301855,46.2
2021-09-01,Chronic,36,129,3958,259,230,347,590,828,801,771,391,-0.1293295062706777,-0.12754131891178422,-0.03766225246775908,-0.009988260690537912,0.009619600155138101,0.06151146217412227,0.054591434709058535,45.2
2021-10-01,Chronic,49,137,4010,289,237,362,592,832,806,781,400,-0.16003503976640915,-0.14268220998269798,-0.04718707906017942,-0.01064427960376204,0.017311347389912538,0.09301141610249339,0.09390677515766281,44.6
2021-11-01,Chronic,48,144,4131,379,231,371,632,854,831,789,423,-0.20199442460064043,-0.15980213513657018,-0.032835517175396414,0.0013842406914822778,0.05186509736219403,0.12803892814731502,0.19042468475517363,44.9
2021-12-01,Chronic,34,151,4258,376,269,385,632,875,844,819,434,-0.1948529165027029,-0.1605761898721596,-0.03869389926500146,0.017867893636718268,0.07989459586049527,0.21276583147117578,0.26683311371934737,46
2022-01-01,Chronic,32,131,4365,359,283,385,659,902,851,835,450,-0.20694013261483804,-0.18569833873078995,-0.02173452951083105,0.04480506948927643,0.10408595426746294,0.2842206560283921,0.37995713327456876,46.4
2022-02-01,Chronic,28,130,4508,372,314,388,678,925,889,865,449,-0.1886874438848641,-0.20301702085048,-0.006289675135737218,0.07421385584182462,0.1902237452754891,0.4039171801388472,0.42629488479959343,47.2
2022-03-01,Chronic,26,175,4686,468,345,417,687,953,930,906,448,-0.1577698625548202,-0.1413155424533196,0.0026794783587531716,0.11368367678047976,0.2968109347737481,0.5703784149906649,0.46656797784412274,47.2
2022-04-01,Chronic,27,161,4778,415,364,441,683,983,954,916,437,-0.13996882452207182,-0.07993280682220076,-0.0017806487721830995,0.16327391948090583,0.3845738329462967,0.6649661292992279,0.4484172128568899,48.2
2022-05-01,Chronic,37,217,4885,471,392,478,697,956,978,927,457,-0.09706200828565496,0.04172230804081193,0.016233592646669886,0.14183743318834668,0.4818029225729721,0.7674552386287242,0.6265155104046024,50.2
